jobid,expfile,m,n,k,node,cpu,duration
1960066,exp_dgemm_c.csv,355,2063,2731,8,0,0.1607414
1960066,exp_dgemm_c.csv,1131,370,4780,8,0,0.15890610000000002
1960066,exp_dgemm_c.csv,893,8728,727,8,0,0.41362479999999996
1960066,exp_dgemm_c.csv,5162,492,259,8,0,0.04630779
1960066,exp_dgemm_c.csv,609,981,2792,8,0,0.1274565
1960066,exp_dgemm_c.csv,235,8053,4757,8,0,0.7409432
1960066,exp_dgemm_c.csv,1580,703,1203,8,0,0.09992803
1960066,exp_dgemm_c.csv,4780,370,1131,8,0,0.1514556
1960066,exp_dgemm_c.csv,349,2829,7084,8,0,0.5244408
1960066,exp_dgemm_c.csv,611,1505,5806,8,0,0.41915050000000004
1960066,exp_dgemm_c.csv,2149,2303,2019,8,0,0.7582971
1960066,exp_dgemm_c.csv,9024,916,242,8,0,0.1470215
1960066,exp_dgemm_c.csv,2827,2318,1424,8,0,0.696551
1960066,exp_dgemm_c.csv,88,4435,5969,8,0,0.2568234
1960066,exp_dgemm_c.csv,2749,1415,259,8,0,0.07443809
1960066,exp_dgemm_c.csv,2770,199,4846,8,0,0.22920349999999998
1960066,exp_dgemm_c.csv,223,1031,5813,8,0,0.12158980000000001
1960066,exp_dgemm_c.csv,11035,612,1333,8,0,0.6893166999999999
1960066,exp_dgemm_c.csv,344,1210,11201,8,0,0.38237129999999997
1960066,exp_dgemm_c.csv,2019,2149,2303,8,0,0.7714679
1960066,exp_dgemm_c.csv,6924,114,9281,8,0,0.6918396
1960066,exp_dgemm_c.csv,2063,355,2731,8,0,0.16582779999999997
1960066,exp_dgemm_c.csv,1328,2760,1637,8,0,0.44961579999999995
1960066,exp_dgemm_c.csv,2050,7121,411,8,0,0.4337385
1960066,exp_dgemm_c.csv,3463,1853,780,8,0,0.3666104
1960066,exp_dgemm_c.csv,406,1406,8168,8,0,0.3722488
1960066,exp_dgemm_c.csv,4780,1131,370,8,0,0.1427009
1960066,exp_dgemm_c.csv,5162,143,456,8,0,0.02862156
1960066,exp_dgemm_c.csv,3943,873,1454,8,0,0.37348059999999994
1960066,exp_dgemm_c.csv,951,5397,325,8,0,0.12512910000000002
1960066,exp_dgemm_c.csv,199,2770,4846,8,0,0.2355516
1960066,exp_dgemm_c.csv,1683,3257,1276,8,0,0.5273948
1960066,exp_dgemm_c.csv,2189,887,4806,8,0,0.7178048
1960066,exp_dgemm_c.csv,275,6848,1237,8,0,0.1911052
1960066,exp_dgemm_c.csv,703,1580,1203,8,0,0.1031021
1960066,exp_dgemm_c.csv,1333,11035,612,8,0,0.662343
1960066,exp_dgemm_c.csv,771,1492,2613,8,0,0.22985360000000002
1960066,exp_dgemm_c.csv,2279,1458,1806,8,0,0.4463583
1960066,exp_dgemm_c.csv,1797,9297,80,8,0,0.1026868
1960066,exp_dgemm_c.csv,5656,3637,340,8,0,0.4836348
1960066,exp_dgemm_c.csv,1406,8168,406,8,0,0.3456228
1960066,exp_dgemm_c.csv,8728,893,727,8,0,0.4201
1960066,exp_dgemm_c.csv,1492,771,2613,8,0,0.233725
1960066,exp_dgemm_c.csv,6924,9281,114,8,0,0.5345778
1960066,exp_dgemm_c.csv,4234,1470,1393,8,0,0.6596206
1960066,exp_dgemm_c.csv,2074,1820,2121,8,0,0.6148140999999999
1960066,exp_dgemm_c.csv,475,596,5892,8,0,0.1360989
1960066,exp_dgemm_c.csv,2967,348,6455,8,0,0.5429982
1960066,exp_dgemm_c.csv,242,916,9024,8,0,0.1754437
1960066,exp_dgemm_c.csv,2519,516,4359,8,0,0.4520915
1960066,exp_dgemm_c.csv,2210,2330,649,8,0,0.25110340000000003
1960066,exp_dgemm_c.csv,3637,340,5656,8,0,0.5658888000000001
1960066,exp_dgemm_c.csv,4389,4371,243,8,0,0.34424699999999997
1960066,exp_dgemm_c.csv,663,3385,3567,8,0,0.6328647
1960066,exp_dgemm_c.csv,2048,2048,2048,8,0,0.6707972
1960066,exp_dgemm_c.csv,4119,1350,1739,8,0,0.7416984999999999
1960066,exp_dgemm_c.csv,3328,179,565,8,0,0.02892269
1960066,exp_dgemm_c.csv,1840,2702,1074,8,0,0.400816
1960066,exp_dgemm_c.csv,2749,259,1415,8,0,0.08305441
1960066,exp_dgemm_c.csv,2938,1153,1872,8,0,0.48243640000000004
1960066,exp_dgemm_c.csv,6225,2945,418,8,0,0.5453296999999999
1960066,exp_dgemm_c.csv,1153,1872,2938,8,0,0.4888022
1960066,exp_dgemm_c.csv,13709,811,720,8,0,0.6033897
1960066,exp_dgemm_c.csv,1113,2786,2363,8,0,0.5666276
1960066,exp_dgemm_c.csv,10068,321,930,8,0,0.2326938
1960066,exp_dgemm_c.csv,199,4846,2770,8,0,0.2394654
1960066,exp_dgemm_c.csv,2318,1424,2827,8,0,0.7020513
1960066,exp_dgemm_c.csv,6428,882,707,8,0,0.28846669999999996
1960066,exp_dgemm_c.csv,5969,4435,88,8,0,0.171882
1960066,exp_dgemm_c.csv,626,2539,5871,8,0,0.7115988
1960066,exp_dgemm_c.csv,873,3943,1454,8,0,0.3662199
1960066,exp_dgemm_c.csv,114,9281,6924,8,0,0.7313172
1960066,exp_dgemm_c.csv,7084,349,2829,8,0,0.5513318
1960066,exp_dgemm_c.csv,7084,2829,349,8,0,0.5022021
1960066,exp_dgemm_c.csv,2121,1820,2074,8,0,0.6115765000000001
1960066,exp_dgemm_c.csv,1459,821,4731,8,0,0.4459822
1960066,exp_dgemm_c.csv,456,143,5162,8,0,0.03257019
1960066,exp_dgemm_c.csv,904,1665,5760,8,0,0.6783136
1960066,exp_dgemm_c.csv,4846,2770,199,8,0,0.19378679999999998
1960066,exp_dgemm_c.csv,916,242,9024,8,0,0.1700988
1960066,exp_dgemm_c.csv,11674,1367,606,8,0,0.7262597
1960066,exp_dgemm_c.csv,1853,3463,780,8,0,0.37715570000000004
1960066,exp_dgemm_c.csv,1276,1683,3257,8,0,0.5316113
1960066,exp_dgemm_c.csv,798,11986,663,8,0,0.47842619999999997
1960066,exp_dgemm_c.csv,4,4,4,8,0,4.112e-06
1960066,exp_dgemm_c.csv,818,1112,4407,8,0,0.3110805
1960066,exp_dgemm_c.csv,2210,649,2330,8,0,0.2601112
1960066,exp_dgemm_c.csv,9703,1386,743,8,0,0.7556055
1960066,exp_dgemm_c.csv,6455,348,2967,8,0,0.533389
1960066,exp_dgemm_c.csv,1767,2226,1101,8,0,0.3203134
1960066,exp_dgemm_c.csv,4976,5206,129,8,0,0.2336535
1960066,exp_dgemm_c.csv,340,3637,5656,8,0,0.5448857
1960066,exp_dgemm_c.csv,2448,429,7297,8,0,0.5974307
1960066,exp_dgemm_c.csv,703,1203,1580,8,0,0.1022182
1960066,exp_dgemm_c.csv,707,6428,882,8,0,0.30505279999999996
1960066,exp_dgemm_c.csv,275,1237,6848,8,0,0.1959491
1960066,exp_dgemm_c.csv,1806,1458,2279,8,0,0.4546999
1960066,exp_dgemm_c.csv,2311,919,3450,8,0,0.5683636999999999
1960066,exp_dgemm_c.csv,241,10636,393,8,0,0.08793039
1960066,exp_dgemm_c.csv,9297,1797,80,8,0,0.1041228
1960066,exp_dgemm_c.csv,2519,4359,516,8,0,0.42296000000000006
1960066,exp_dgemm_c.csv,978,3440,794,8,0,0.2056927
1960066,exp_dgemm_c.csv,1153,2938,1872,8,0,0.4869628
1960066,exp_dgemm_c.csv,2318,2827,1424,8,0,0.6747314999999999
1960066,exp_dgemm_c.csv,234,8007,4805,8,0,0.7456994
